,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,감천경림,45㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,45.34,39.24,87,2,1,1,계단식,7628,30511,1526,21357,0,0,0,,,,,,,"4,000",,,,,,,,
1,감천경림,53A㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,53.55,47.55,89,3,1,3,계단식,9023,36091,1805,25263,0,0,0,,,,,,,,,,,,,,,
2,감천경림,53B㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,53.98,47.88,89,3,1,1,계단식,9023,36091,1805,25263,0,0,0,,,,,,,,,,,,,,,
3,감천경림,56㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,56.2,50.16,89,3,1,1,계단식,9450,37800,1890,26460,0,0,0,,,,,,,,,,,,,,,
4,감천경림,60A㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,60,48,80,3,1,1,계단식,9023,36091,1805,25263,0,0,0,,,,,,,,,,,,,,,
5,감천경림,60B㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,60.3,48.3,80,3,1,1,계단식,8730,34920,1746,24444,0,0,0,,,,,,,,,,,,,,,
6,감천경림,61㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,61.2,55.2,90,3,2,16,계단식,10958,43831,2192,30681,0,0,0,,,,,,,,,,,,,,,
7,감천경림,64A㎡,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,64.8,58.8,91,3,2,19,계단식,11723,46891,2345,32823,0,0,0,,,,,,,,,,,,,,,
8,감천경림,68B,부산시 사하구 감천동,2638010800,828-27,부산시 사하구 사하로 105,35.091296,128.993042,48,0,5,5,130,36,0,,HT001,68.76,62.76,91,3,1,5,계단식,12285,49140,2457,34398,0,0,0,,,,,"8,500",,,,,,,,,,
0,감천단지,57㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,57.32,50.71,88,3,1,55,계단식,12780,51120,2556,35784,0,0,0,,,,,"7,900",,,,,,,,,,
1,감천단지,62A㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,62.81,56.2,89,3,1,50,계단식,14243,56971,2849,39879,0,0,0,,,,"9,200","9,300",,,,,,,,,,
2,감천단지,63B㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,63.14,56.53,90,2,1,4,계단식,14243,56971,2849,39879,0,0,0,,,,,,,,,,,,,,,
3,감천단지,63C㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,63.24,56.63,90,2,1,1,계단식,13050,52200,2610,36540,0,0,0,,,,,,,,,,,,,,,
4,감천단지,64D㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,64.06,57.45,90,2,1,20,계단식,14243,56971,2849,39879,0,0,0,,,,,"9,800",,,,,,,,,,
5,감천단지,67㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,67.9,61.29,90,3,1,5,계단식,14940,59760,2988,41832,0,0,0,,,,,,,,,,,,,,,
6,감천단지,71㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,71.5,64.89,91,3,1,5,계단식,16313,65251,3263,45675,0,0,0,,,,,1억 200,,,,,,,,,,
7,감천단지,75㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,75.6,68.99,91,3,1,35,계단식,17213,68851,3443,48195,0,0,0,,,,,,,,,,,,,,,
8,감천단지,77㎡,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,77.85,71.24,92,3,1,5,계단식,17685,70740,3537,49518,0,0,0,,,,,,,,,,,,,,,
9,감천단지,90,부산시 사하구 감천동,2638010800,530,부산시 사하구 감천로105번길 40,35.089959,129.004332,210,0,5,5,0,0,0,조양개발(주),HT001,90.48,83.87,93,3,1,30,계단식,21375,85500,4275,59850,0,0,0,,,,,,,,,,,,,,,
0,감천백산,76㎡,부산시 사하구 감천동,2638010800,682,부산시 사하구 감천로 32,35.09097,128.99605,224,0,20,13,398,30,154,㈜백산종합건설,HT001,76.62,59.83,78,3,1,104,계단식,21758,87031,4352,60921,0,0,0,,126715,130762,,,,,,,,,,,,
1,감천백산,98㎡,부산시 사하구 감천동,2638010800,682,부산시 사하구 감천로 32,35.09097,128.99605,224,0,20,13,398,30,154,㈜백산종합건설,HT001,98.22,77.91,79,3,2,80,계단식,26775,107100,5355,74970,0,0,0,,165007,170278,,"1억 8,500",,,,,,,,,,
