,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,건영,94㎡,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,94.03,77.68,83,3,2,60,계단식,997200,1766160,199440,569520,0,0,0,,335258,206849,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
1,건영,103B㎡,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,103.86,84.39,81,3,2,424,계단식,1288800,2218140,257760,671580,0,0,0,,364217,224716,11억,"12억 5,000",5억,6억,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
2,건영,103D㎡,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,103.91,84.47,81,3,2,30,계단식,1288800,2218140,257760,671580,0,0,0,,364563,224930,"11억 8,000","12억 5,000",,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
3,건영,103C㎡,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,103.87,84.42,81,3,2,14,계단식,1288800,2218140,257760,671580,0,0,0,,364347,224797,,12억,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
4,건영,103A㎡,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,103.61,84.17,81,3,2,1,계단식,1234800,2134440,246960,652680,0,0,0,,363268,224131,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
5,건영,104,서울시 송파구 문정동,1171010800,72-3,서울시 송파구 새말로8길 12,37.482,127.125324,545,0,15,13,254,0,545,(주)건영종합건설,HT005,104.42,84.87,81,3,2,16,계단식,1249200,2156760,249840,657720,0,0,0,,366289,225995,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
0,그랜빌캐슬,100㎡,서울시 송파구 문정동,1171010800,70-16,서울시 송파구 새말로 97-1,37.482943,127.125019,18,0,7,7,294,51,21,(주)그린종합건설,HT001,100.82,87.67,87,3,2,6,계단식,257400,615060,51480,306180,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
1,그랜빌캐슬,115,서울시 송파구 문정동,1171010800,70-16,서울시 송파구 새말로 97-1,37.482943,127.125019,18,0,7,7,294,51,21,(주)그린종합건설,HT001,115.65,100.57,87,3,2,12,계단식,299700,695430,59940,335790,0,0,0,,,,10억,"13억 5,000",,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
0,다원펠리스(도시형),39A㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,39.32,29.5,75,1,1,7,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
1,다원펠리스(도시형),39B㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,39.97,29.99,75,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
2,다원펠리스(도시형),47㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,47.62,39.06,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
3,다원펠리스(도시형),49㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,49.95,41.16,82,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
4,다원펠리스(도시형),54A㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,54.78,45.14,82,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
5,다원펠리스(도시형),56B㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,56.54,46.38,82,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
6,다원펠리스(도시형),60A㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,60.58,49.93,82,2,1,7,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
7,다원펠리스(도시형),61B㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,61,50.05,82,2,1,8,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
8,다원펠리스(도시형),64㎡,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,64.46,53.12,82,3,1,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
9,다원펠리스(도시형),101,서울시 송파구 문정동,1171010800,25-3,서울시 송파구 동남로6가길 4-6,37.488838,127.125415,29,0,6,5,199,52,21,해신종합건설(주),HT001,101.25,75.97,75,3,2,1,계단식,,,,,,,,,,,,,,,,,,,서울문정초등학교,B100000919,서울특별시 송파구 문정동  12번지,공립,단설,19841205,서울특별시교육청,http://moonjung.sen.es.kr,20230531,17.9,21.2,334,386,20230531,5,53,6,5,4,5,6,6,126,106,91,116,143,,2,6,32,720,2,5,0,0,20230531,15,,0,0.0,20230531,직영,3314,942,731885000,37.48891494,127.12864528,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,5,132.0,190.0
0,대림미소나눔,86㎡,서울시 송파구 문정동,1171010800,94-9,서울시 송파구 송이로36길 42-10,37.483959,127.12851,10,0,6,6,199,44,10,씨씨앤종합건설(주),HT001,86.12,77.8,90,3,2,2,복합식,170100,449190,34020,245070,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
1,대림미소나눔,88,서울시 송파구 문정동,1171010800,94-9,서울시 송파구 송이로36길 42-10,37.483959,127.12851,10,0,6,6,199,44,10,씨씨앤종합건설(주),HT001,88.3,79.76,90,3,2,8,복합식,170100,449190,34020,245070,0,0,0,,,,,7억,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
0,동부주택브리앙뜨(63-8),58㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,58.01,48.98,84,2,1,1,계단식,86550,267030,17310,163170,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
1,동부주택브리앙뜨(63-8),73㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,73.07,61.7,84,3,1,1,계단식,108600,324360,21720,194040,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
2,동부주택브리앙뜨(63-8),78㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,78.5,66.28,84,3,1,3,계단식,132300,377370,26460,218610,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
3,동부주택브리앙뜨(63-8),92㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,92.16,77.82,84,3,1,3,계단식,185400,478260,37080,255780,0,0,0,,,,,7억,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
4,동부주택브리앙뜨(63-8),100㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,100.34,84.72,84,3,2,4,계단식,207000,519300,41400,270900,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
5,동부주택브리앙뜨(63-8),110㎡,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,110.78,93.55,84,3,2,1,계단식,251100,603090,50220,301770,0,0,0,,,,,,,"4억 9,000",,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
6,동부주택브리앙뜨(63-8),128,서울시 송파구 문정동,1171010800,63-8,서울시 송파구 문정로4길 10,37.48542,127.126042,14,0,6,6,259,56,16,동부주택건설(주),HT001,128.85,108.8,84,3,2,1,계단식,295200,686880,59040,332640,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,3,91.0,92.0
0,동부주택브리앙뜨(74),94㎡,서울시 송파구 문정동,1171010800,74,서울시 송파구 송파대로 106,37.48029,127.12597,24,0,10,7,297,41,26,동부주택건설(주),HT001,94.2,80.15,85,3,2,6,계단식,252000,604800,50400,302400,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,9,91.0,92.0
1,동부주택브리앙뜨(74),97,서울시 송파구 문정동,1171010800,74,서울시 송파구 송파대로 106,37.48029,127.12597,24,0,10,7,297,41,26,동부주택건설(주),HT001,97.55,83.07,85,3,2,18,계단식,263700,627030,52740,310590,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,9,91.0,92.0
0,동부화이트빌,58㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,58.68,52.58,90,2,1,1,계단식,88800,272880,17760,166320,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
1,동부화이트빌,66㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,66.17,59.3,90,2,1,1,계단식,105900,317340,21180,190260,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
2,동부화이트빌,71㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,71.45,64.03,90,2,1,1,계단식,102300,307980,20460,185220,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
3,동부화이트빌,74A㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,74.88,67.1,90,3,2,1,계단식,120600,355140,24120,210420,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
4,동부화이트빌,75B㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,75.67,67.81,90,3,2,1,계단식,120600,355140,24120,210420,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
5,동부화이트빌,80㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,80.06,71.75,90,3,2,2,계단식,138600,389340,27720,223020,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
6,동부화이트빌,83㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,83.84,75.13,90,3,2,1,계단식,120600,355140,24120,210420,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
7,동부화이트빌,85㎡,서울시 송파구 문정동,1171010800,58-17,서울시 송파구 새말로5길 18,37.484164,127.124338,16,0,6,5,280,57,15,(주)동부주택건설,HT001,85.51,76.63,90,3,2,3,계단식,157500,425250,31500,236250,0,0,0,,,,,,,,,,,,서울문덕초등학교,B100000918,서울특별시 송파구 문정동  90-3번지,공립,단설,19930720,서울특별시교육청,http://moondeok.sen.es.kr,20230531,18.1,20.1,280,283,20230531,3,44,5,5,4,5,4,4,99,98,89,102,79,,1,5,27,563,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3377,616,659347000,37.48499489,127.12759834,1171010800,서울시,19.8,17.4,송파구,21.5,18.0,6,91.0,92.0
